field,label,ground_truth,max_mape_pct,max_mape_prediction,max_mape_path,baseline_mape_pct,baseline_prediction,baseline_path,min_mape_pct,min_mape_prediction,min_mape_path
spm_child_poverty_rate_2021_pct,SPM child poverty rate (2021),5.2,62.692308,8.46,root/constraining/enabling/constraining,28.076923,6.66,root/baseline/baseline/baseline,2.307692,5.32,root/baseline/enabling/enabling
spm_child_poverty_relative_reduction_2020_2021_pct,SPM relative reduction (2020-2021),46.0,72.217391,12.78,root/constraining/enabling/constraining,31.869565,31.34,root/baseline/baseline/baseline,1.826087,45.16,root/baseline/enabling/enabling
low_income_food_insufficiency_relative_reduction_pct,Low-income food insufficiency reduction,26.0,36.923077,16.4,root/enabling/constraining/constraining,3.846154,25.0,root/baseline/baseline/baseline,3.846154,25.0,root/enabling/enabling/enabling
spm_black_child_poverty_rate_2021_pct,Black child SPM poverty rate (2021),8.1,88.641975,15.28,root/constraining/enabling/constraining,51.851852,12.3,root/baseline/baseline/baseline,6.91358,8.66,root/baseline/enabling/enabling
spm_hispanic_child_poverty_rate_2021_pct,Hispanic child SPM poverty rate (2021),8.4,56.904762,13.18,root/constraining/enabling/constraining,23.571429,10.38,root/baseline/baseline/baseline,0.238095,8.38,root/baseline/enabling/baseline
